pair_id,pass,latency_ms
e1-q207-hal,1,1.772
e1-q208-gt,1,2.489
e1-q208-hal,1,1.982
e1-q209-gt,1,1.955
e1-q209-hal,1,1.454
e1-q210-gt,1,2.864
e1-q210-hal,1,2.389
e1-q211-gt,1,5.175
e1-q211-hal,1,4.083
e1-q212-gt,1,1.168
e1-q212-hal,1,1.08
e1-q213-gt,1,2.622
e1-q213-hal,1,4.276
e1-q214-gt,1,2.651
e1-q214-hal,1,2.548
e1-q215-gt,1,1.904
e1-q215-hal,1,1.434
e1-q216-gt,1,1.731
e1-q216-hal,1,1.127
e1-q217-gt,1,3.118
e1-q217-hal,1,2.617
e1-q218-gt,1,2.523
e1-q218-hal,1,1.843
e1-q219-gt,1,2.539
e1-q219-hal,1,1.801
e1-q220-gt,1,2.17
e1-q220-hal,1,1.645
e1-q221-gt,1,5.225
e1-q221-hal,1,2.302
e1-q222-gt,1,2.874
e1-q222-hal,1,2.341
e1-q223-gt,1,2.057
e1-q223-hal,1,1.855
e1-q224-gt,1,2.206
e1-q224-hal,1,1.653
e1-q225-gt,1,2.192
e1-q225-hal,1,2.156
e1-q226-gt,1,1.691
e1-q226-hal,1,1.476
e1-q227-gt,1,4.077
e1-q227-hal,1,2.496
e1-q228-gt,1,2.462
e1-q228-hal,1,2.416
e1-q229-gt,1,2.741
e1-q229-hal,1,2.567
e1-q230-gt,1,2.2
e1-q230-hal,1,1.725
e1-q231-gt,1,1.25
e1-q231-hal,1,1.281
e1-q232-gt,1,4.783
e1-q232-hal,1,3.466
e1-q233-gt,1,2.503
e1-q233-hal,1,2.593
e1-q234-gt,1,2.605
e1-q234-hal,1,2.984
e1-q235-gt,1,4.21
e1-q235-hal,1,4.428
e1-q236-gt,1,2.208
e1-q236-hal,1,2.291
e1-q237-gt,1,1.308
e1-q237-hal,1,1.299
e1-q238-gt,1,3.744
e1-q238-hal,1,2.139
e1-q239-gt,1,2.756
e1-q239-hal,1,2.777
e1-q240-gt,1,2.512
e1-q240-hal,1,2.233
e1-q241-gt,1,4.097
e1-q241-hal,1,2.657
e1-q242-gt,1,2.828
e1-q242-hal,1,1.942
e1-q243-gt,1,2.78
e1-q243-hal,1,2.087
e1-q244-gt,1,6.259
e1-q244-hal,1,3.847
e1-q245-gt,1,2.566
e1-q245-hal,1,1.929
e1-q246-gt,1,1.923
e1-q246-hal,1,1.246
e1-q247-gt,1,2.028
e1-q247-hal,1,2.636
e1-q248-gt,1,2.707
e1-q248-hal,1,1.598
e1-q249-gt,1,4.298
e1-q249-hal,1,3.269
e1-q055-gt,2,3.654
e1-q055-hal,2,3.486
e1-q056-gt,2,2.062
e1-q056-hal,2,1.712
e1-q057-gt,2,2.669
e1-q057-hal,2,3.576
e1-q058-gt,2,3.465
e1-q058-hal,2,3.771
e1-q059-gt,2,1.868
e1-q059-hal,2,1.558
e1-q060-gt,2,3.343
e1-q060-hal,2,4.083
e1-q061-gt,2,3.679
e1-q061-hal,2,2.284
e1-q062-gt,2,2.703
e1-q062-hal,2,2.915
e1-q063-gt,2,3.611
e1-q063-hal,2,3.798
e1-q064-gt,2,3.497
e1-q064-hal,2,3.571
e1-q065-gt,2,2.496
e1-q065-hal,2,2.234
e1-q066-gt,2,2.963
e1-q066-hal,2,1.994
e1-q067-gt,2,3.235
e1-q067-hal,2,2.448
e1-q068-gt,2,2.805
e1-q068-hal,2,1.814
e1-q069-gt,2,3.27
e1-q069-hal,2,4.613
e1-q070-gt,2,2.988
e1-q070-hal,2,2.319
e1-q071-gt,2,7.594
e1-q071-hal,2,3.592
e1-q072-gt,2,4.055
e1-q072-hal,2,3.293
e1-q073-gt,2,2.328
e1-q073-hal,2,2.439
e1-q074-gt,2,3.543
e1-q074-hal,2,4.469
e1-q075-gt,2,0.972
e1-q075-hal,2,0.943
e1-q076-gt,2,1.851
e1-q076-hal,2,1.845
e1-q077-gt,2,4.51
e1-q077-hal,2,2.873
e1-q078-gt,2,2.999
e1-q078-hal,2,4.475
e1-q079-gt,2,3.131
e1-q079-hal,2,3.036
e1-q080-gt,2,3.261
e1-q080-hal,2,2.425
e1-q081-gt,2,2.553
e1-q081-hal,2,2.145
e1-q082-gt,2,2.764
