pair_id,pass,latency_ms
e1-q172-hal,2,213.849
e1-q173-gt,2,247.38
e1-q173-hal,2,213.63
e1-q174-gt,2,394.005
e1-q174-hal,2,195.47
e1-q175-gt,2,393.742
e1-q175-hal,2,203.805
e1-q176-gt,2,697.087
e1-q176-hal,2,218.284
e1-q177-gt,2,634.033
e1-q177-hal,2,197.351
e1-q178-gt,2,455.419
e1-q178-hal,2,247.94
e1-q179-gt,2,532.955
e1-q179-hal,2,258.435
e1-q180-gt,2,469.797
e1-q180-hal,2,1424.369
e1-q181-gt,2,261.722
e1-q181-hal,2,231.195
e1-q182-gt,2,984.877
e1-q182-hal,2,946.581
e1-q183-gt,2,299.359
e1-q183-hal,2,290.044
e1-q184-gt,2,216.174
e1-q184-hal,2,215.711
e1-q185-gt,2,197.872
e1-q185-hal,2,418.318
e1-q186-gt,2,977.835
e1-q186-hal,2,352.425
e1-q187-gt,2,604.238
e1-q187-hal,2,290.846
e1-q188-gt,2,364.271
e1-q188-hal,2,346.954
e1-q189-gt,2,402.621
e1-q189-hal,2,189.172
e1-q190-gt,2,447.934
e1-q190-hal,2,231.371
e1-q191-gt,2,192.678
e1-q191-hal,2,172.504
e1-q192-gt,2,715.278
e1-q192-hal,2,498.405
e1-q193-gt,2,683.634
e1-q193-hal,2,427.959
e1-q194-gt,2,877.209
e1-q194-hal,2,335.167
e1-q195-gt,2,155.638
e1-q195-hal,2,374.699
e1-q196-gt,2,286.474
e1-q196-hal,2,142.81
e1-q197-gt,2,448.439
e1-q197-hal,2,224.735
e1-q198-gt,2,191.474
e1-q198-hal,2,208.186
e1-q199-gt,2,373.945
e1-q199-hal,2,317.953
e1-q200-gt,2,449.056
e1-q200-hal,2,231.845
e1-q201-gt,2,145.685
e1-q201-hal,2,176.025
e1-q202-gt,2,358.869
e1-q202-hal,2,186.402
e1-q203-gt,2,337.818
e1-q203-hal,2,308.887
e1-q204-gt,2,460.171
e1-q204-hal,2,155.249
e1-q205-gt,2,1046.985
e1-q205-hal,2,685.839
e1-q206-gt,2,313.986
e1-q206-hal,2,162.998
e1-q207-gt,2,344.556
e1-q207-hal,2,184.118
e1-q208-gt,2,364.369
e1-q208-hal,2,196.621
e1-q209-gt,2,335.458
e1-q209-hal,2,200.048
e1-q210-gt,2,521.86
e1-q210-hal,2,269.002
e1-q211-gt,2,1048.303
e1-q211-hal,2,562.741
e1-q212-gt,2,184.643
e1-q212-hal,2,177.783
e1-q213-gt,2,386.711
e1-q213-hal,2,721.593
e1-q214-gt,2,630.304
e1-q214-hal,2,432.668
e1-q215-gt,2,384.759
e1-q215-hal,2,193.404
e1-q216-gt,2,509.435
e1-q216-hal,2,128.623
e1-q217-gt,2,317.06
e1-q217-hal,2,301.257
e1-q218-gt,2,420.989
e1-q218-hal,2,202.97
e1-q219-gt,2,491.225
e1-q219-hal,2,280.084
e1-q220-gt,2,424.263
e1-q220-hal,2,202.274
e1-q221-gt,2,1215.039
e1-q221-hal,2,221.802
e1-q222-gt,2,411.461
e1-q222-hal,2,221.917
e1-q223-gt,2,335.263
e1-q223-hal,2,301.804
e1-q224-gt,2,213.556
e1-q224-hal,2,186.086
e1-q225-gt,2,206.693
e1-q225-hal,2,178.006
